handle,rating,class,solvedCount,maxStreak
max804,2705,9,1173,170
oree2113,2705,7,861,6
rdd6584,2705,9,2866,4
ryanson,2705,8,1186,353
ntopia,2704,7,2955,1
ansol4328,2703,9,1130,12
biximo,2703,9,1495,31
kwoncycle,2703,7,751,11
larryzhong,2703,0,511,9
namnamseo,2703,3,1755,15
jbs30_jsh,2702,8,1030,402
pasa3232,2701,9,1359,61
ppsrac,2701,8,715,54
deom,2700,7,1890,402
jaesang00,2700,8,1681,783
misuki,2700,10,239,15
saywoo,2700,8,2731,272
yeongjava1997,2700,9,1423,18
kajebiii,2699,7,3768,2
ggoh,2695,8,833,166
gumgood,2600,8,2298,14
yigzo,2600,8,1461,92
gs20036,2599,8,1332,26
index,2599,8,7114,1216
lukanel,2599,8,1024,318
minsung05,2599,8,1197,70
YunGoon,2598,8,5683,370
smilu2245,2597,9,1069,3
imjaegon,2596,8,1456,87
asker5325,2595,9,1451,12
sonjaewon,2595,7,2125,106
chris2tg,2594,7,1018,1
siganai,2594,9,786,13
tg314,2594,6,1576,16
0xchaser,2593,6,1213,386
jiangly,2593,0,482,8
jyheo98,2593,8,3691,100
woolim,2591,8,1519,22
jihoon,2590,8,1326,32
jiminp,2589,7,2659,764
mathking1021,2589,6,860,78
minchan_bae,2589,8,1015,366
tommy1024,2589,8,769,87
mym0404,2588,8,4359,253
tracy_hide,2588,5,1072,263
hyjk826,2586,8,3474,209
hyperion1019,2586,8,1716,374
snake832,2586,9,234,13
dadada2413,2585,8,1170,37
thxios457,2585,6,462,11
portableangel,2584,8,6013,4
tmdgud0617,2583,8,2746,180
pk661,2581,0,921,15
lulunlnl,2580,8,1006,94
potterlovejh,2580,7,1099,64
scw1130,2580,7,1152,1
chomin0,2579,8,532,68
j2ssicaalt,2578,9,428,17
IHHI,2576,8,934,311
aspective,2571,8,932,204
shpark061104,2571,8,767,5
jame0313,2570,8,3431,105
karvens,2568,6,559,42
mj1000j,2567,7,2125,11
christ,2566,9,276,4
leonhard,2566,7,402,35
quickn,2566,8,599,8
rladbeka,2566,5,438,65
stabilizer_h,2565,6,497,8
bamgoesn,2563,8,2558,84
shawn050912,2763,9,306,57
starbow,2761,9,4358,961
jms020820,2760,9,2831,467
junho0219,2759,8,1505,256
jyon,2757,8,456,15
y0105w49,2757,0,531,4
seungwuk98,2756,8,817,82
gs25,2755,9,1185,28
lego0901,2755,9,1209,9
choisang0826,2754,10,5204,110
lky7674,2754,9,4326,1133
MenOfPassion,2752,9,8825,462
Green55,2751,9,5243,11
lkh3happy,2751,8,1571,18
ystaeyoon113,2750,9,3867,57
hulahula3247,2749,8,2343,375
djm03178,2748,9,4683,14
ruykun,2746,8,1756,365
teferi00,2744,9,2919,1396
commonnick,2743,8,675,40
shiftpsh,2743,8,4002,368
gs22123,2741,9,2597,448
pyb1031,2741,6,2982,81
spectaclehong,2741,7,1730,16
h0ngjun7,2740,9,3960,7
bnb2011,2739,9,5083,1291
wapas,2737,9,4210,1406
ae04071,2736,9,2887,3
playsworld16,2735,9,2781,27
egod1537,2734,9,2804,216
p_ce1052,2734,9,4044,27
sehujeong,2734,9,4258,679
300iq,2733,0,262,1
sk091204091204,2733,9,2137,205
wider93,2733,6,2824,230
zhoushang,2733,8,235,6
changhw,2732,8,1639,56
overnap,2732,9,1139,33
bungmint,2731,8,995,13
kidw0124,2730,7,1919,322
nflight11,2730,7,3260,144
djs100201,2729,9,4915,1198
poetdeaths,2729,9,1611,51
benedict0724,2728,8,1426,16
evenharder,2728,9,2061,7
semteo04,2728,9,4527,540
seungchan0325,2726,9,1461,621
smjun04,2726,8,1167,80
aaron0526,2725,9,605,39
junie,2725,9,1983,7
devluyten,2563,5,1201,109
dinojaemin,2562,7,2564,489
bumsoo0515,2561,8,2419,771
chogahui05,2558,8,5505,3
yup0927,2558,8,3873,1137
leedongbin,2557,8,2895,1406
finimage,2555,8,1498,646
josephwow,2555,9,417,40
luca1234,2555,7,1208,21
hyunjoon2008,2554,7,1004,48
thisisuser,2554,8,1248,97
raararaara,2553,8,2582,10
gratus907,2552,7,1643,32
naxi,2552,7,802,22
p_a_r_k_j_u_n_e,2552,8,734,21
sean617,2551,7,1459,9
srand,2551,6,4213,114
baactree,2550,7,2685,2
gmroh06,2550,8,1889,153
jbkmath48128,2549,6,4405,33
sb00lgs,2549,8,3090,940
dj035,2548,7,1781,57
paldad,2548,8,1208,6
annaria,2547,8,1491,251
turgon314,2547,8,1102,34
ckyw0818,2546,7,486,63
pps789,2546,6,1411,1
svd,2545,7,696,259
hvmegy,2544,7,301,82
yyyy7089,2543,7,4114,444
cywohoy,2542,6,805,256
tae826,2542,8,1413,28
whqkrkt04,2542,8,923,69
serendip2021,2541,8,1616,104
abra_stone,2540,6,1232,19
choyi0521,2540,6,1142,1
exqt,2540,7,2002,9
nadoo1313,2540,7,412,5
hani0714,2538,8,2822,1396
reky5010,2538,6,414,33
sciencepark,2538,8,885,10
my3,2537,7,1011,5
akrobatik,2536,7,1179,61
amsminn,2536,8,1890,57
djznptmxl,2534,7,648,45
jaewoo2009,2534,7,398,18
ploffer11,2533,8,1412,4
lunarlity,2531,5,495,40
myyh1234,2531,8,2302,100
sjh1224,2531,8,1871,31
topology,2938,8,1228,11
kes0716,2935,10,1719,25
yongwhan,2929,9,3253,21
sshs29hanul,2926,9,646,15
cs71107,2922,9,2343,25
august14,2919,6,3288,1
kyo20111,2918,10,8559,279
brandonzhang,2917,10,911,271
mickeyjung,2917,8,1720,144
wnwoghd22,2917,10,1658,1008
cytosine,2916,6,1095,548
kclee2172,2915,8,1045,7
ibm2006,2911,8,1248,198
edenooo,2909,9,3543,11
iccodly,2904,10,4569,311
cozyyg,2903,8,5637,744
pichulia,2902,8,4787,1111
kipa00,2901,9,2839,129
leinad2,2900,9,836,78
tlwpdus,2898,8,1130,2
cheetose,2895,9,5935,111
p_0,2889,10,2473,177
youngyangze,2884,9,1532,141
harinboy,2881,10,1652,43
greedev,2878,9,1360,6
blackking26,2876,5,946,6
heewoo1137,2876,9,697,40
cgiosy,2875,9,2475,15
denniskim,2875,9,3435,1318
jinhan814,2872,9,6312,365
mjhmjh1104,2872,9,2220,224
kdh9949,2871,9,4442,36
lighton,2871,6,740,11
gunwookim,2867,9,2194,10
acmi,2864,9,761,167
maruii,2864,5,742,11
sait2000,2864,8,3084,80
hijkl2e,2859,8,4313,33
pretty_pi,2858,9,2234,135
ehlee0815,2857,9,1282,414
gs22091,2857,6,1099,47
stonejjun03,2857,9,1623,64
heeda0528,2856,9,3709,97
sjhi00,2856,9,4565,621
psb0623,2855,9,797,15
hhs2003,2849,8,1232,98
pani,2849,8,2936,1126
woohyun_jng,2849,9,1837,325
dotorya,2845,9,9896,96
angello10,2840,10,2362,327
jh01533,2693,7,1969,53
retro3014,2691,8,663,3
daniel604,2689,8,1044,130
juwonhyme,2689,9,968,74
jk410,2687,9,1598,30
slah007,2686,9,1887,16
semteo,2684,9,2280,24
hjroh0315,2680,6,3015,66
joonion,2680,8,2990,64
lobo_prix,2680,8,2479,11
andrewmjk1,2678,8,2178,71
deuslovelt,2678,8,2365,7
eggx50000,2678,7,2890,1019
Diuven,2677,8,1083,2
nk1008,2677,8,309,9
blast,2674,9,2083,365
june0501,2672,9,1459,650
tlsdydaud1,2672,8,3676,559
sprout_429,2671,5,568,51
vector,2671,8,707,115
wlgh7407,2670,8,1502,293
man_of_learning,2668,9,2400,32
khsoo01,2667,3,1400,3
dk10211,2664,8,1830,31
invrtd_h,2664,8,1511,431
junseo,2664,7,1445,33
your0501,2663,5,1195,124
himyu,2662,9,659,6
runnie0427,2657,8,2150,172
ldhun041203,2656,9,1115,36
milkclouds,2656,8,1912,6
14cheung,2653,7,1937,25
sedev57,2653,8,840,48
oh040411,2652,8,2266,34
leecs0503,2651,6,1651,4
gs15120,2650,9,1436,15
kskim90,2647,8,2988,1351
jimini23,2646,8,1178,54
eaststar,2643,7,1771,43
clifter0122,2642,9,1011,11
dtc03012,2642,8,2482,6
sbjwin,2642,8,2299,8
ychangseok,2642,7,4958,819
eoaud0108,2641,7,1000,150
kazel,2641,7,1491,3
edward3378,2640,8,1677,467
dohoon,2639,8,2181,145
golazcc83,2639,8,4077,1145
kiwiyou,2639,8,2571,81
riroan,2638,7,4479,1320
alreadysolved,2530,5,424,40
juney,2530,8,515,7
calcifer,2529,8,504,445
halin,2529,8,4240,1065
parkky,2529,6,3227,1195
ishs311213,2527,7,750,73
yejun2009,2525,8,748,104
dhyang24,2524,7,2893,69
rubix,2524,8,1389,6
arknave,2523,8,452,7
kaorin,2523,7,1449,33
kareus,2523,8,742,72
donghwa722,2522,8,382,6
asz2325,2521,8,3325,490
momo6465,2521,8,701,128
dlwocks31,2520,8,2230,7
qvixnh22,2520,8,2283,144
inwooleeme,2519,7,4716,965
jhuni,2519,8,2210,512
navyduck,2519,8,1072,22
yookwi,2519,7,2113,76
dldyou,2518,7,1567,89
orihehe,2517,7,1834,2
gurugeonu,2516,8,1363,70
haruki291sa,2516,8,2513,116
khj20006,2516,8,3292,93
lycka,2515,8,2552,93
kthng,2513,8,1091,13
naeby,2513,8,3076,505
BaaaaaaaaaaarkingDog,2512,8,1679,3
spicyshrimp171,2512,7,1030,93
cscandkswon,2511,8,502,27
mathang08,2511,5,687,43
readiz,2510,8,1863,259
taekop,2510,8,748,5
davinci2003,2508,9,288,13
king7282,2506,8,1300,3
retrogemhk,2506,8,757,9
chan120714,2505,6,1831,449
dabbler1,2505,8,5497,974
shinywon7,2505,8,323,16
rlatkdgus2627,2504,8,903,21
davidkim0,2503,7,1181,304
hjun0410,2503,9,104,6
pizzaroot,2503,7,2193,28
ojs8879,2501,8,1343,245
syleekr,2501,8,425,15
applemade,2500,7,911,618
lyung_0,2500,8,760,191
seojin0305,2500,7,408,7
jihwan_0319,2436,7,3691,984
pangitwise,2434,8,1656,304
wooju1010,2434,6,261,15
k_san,2433,7,574,23
suhgyuho,2433,4,931,0
toysmars,2433,8,799,37
kingjeongmin,2432,8,890,256
aw9898,2431,8,2086,520
mujigae,2431,7,6049,409
dong5995,2430,8,5783,795
wooaaa,2430,7,2907,22
adh0463,2429,7,2801,5
admathnoob,2429,0,374,6
king114,2429,8,301,19
prarie,2429,7,1468,7
kangkunma,2428,4,1449,463
nanowater,2428,7,1278,653
201812106,2427,7,880,3
iknoom1107,2427,8,2117,134
pseong,2426,7,1436,31
randomlb,2426,6,638,15
afpine,2425,7,1099,119
borademirtas,2425,6,1026,37
pill27211,2425,7,2238,678
bjr7000,2424,7,1923,64
hanabisuri,2423,6,525,6
dbgksdl00,2422,7,1969,1384
junwoojune,2422,7,660,54
minpro0818,2422,7,673,129
foryou1006ll,2421,7,974,1
makon,2421,5,684,83
shjy9417,2421,8,1783,110
hohoyou77,2420,7,2498,1186
horsedrinkscoffee,2420,8,1202,202
cdh981009,2419,8,615,12
jalapen0_p1ckle,2419,8,766,313
kolorvxl,2419,6,559,67
arjasc521,2417,6,984,10
hoonably,2417,7,1099,366
yooshnn,2416,7,3804,1126
cshcho99,2415,8,649,166
geonsi9,2415,8,453,11
hsh8086,2415,7,4392,612
seonah,2415,7,1441,75
subinium,2415,7,3204,2
wwad,2415,7,815,21
eka,2414,7,1891,860
harnel_tngn,2413,7,2107,279
yuma220284,2413,8,363,28
aiden1927,2412,7,740,13
pgggggggggh,2371,7,855,15
qsccsq22,2370,6,1088,136
carinae,2369,7,333,6
tapris,2369,6,1590,1019
ha819ha,2368,7,574,24
hihimollu,2368,6,502,11
st42597,2368,7,2050,365
yehyun,2368,7,963,93
yoonoomilk,2367,7,775,16
dbtodqorrn250,2366,6,1157,105
hwpark12,2366,6,1379,61
shinm0819,2366,7,1837,144
chleee,2365,7,1633,630
junhopark,2365,8,205,7
sgc109,2365,7,1110,3
wjsqjawns,2365,5,1272,3
windflower,2364,7,1274,2
cnhs2205,2363,6,549,21
jjong06331,2363,7,746,88
rejo,2363,7,2767,223
0917ba,2362,7,1305,57
wonkyum256,2362,7,1420,29
yj0524_kr,2362,8,226,21
dustmqdyd01,2361,6,817,13
mksmk606,2361,7,1635,22
wookje,2361,5,1165,4
99asdfg,2360,6,1995,536
putdata,2360,7,1670,32
9507ym,2359,7,1385,14
flyjb,2358,7,1859,119
ksoosung77,2357,7,2525,623
lovelydays95,2357,7,515,7
yonsweng,2357,8,614,17
bug_limit_exceeded,2356,8,175,14
physics07,2356,7,791,144
dbtjd1928,2355,7,1663,572
effect2110,2355,7,762,64
hypercoding,2355,7,1400,909
repelit,2355,7,1234,19
mingyu331,2354,4,642,18
wnguscjf01,2354,7,541,17
bakpark,2353,7,1308,1
hbg1345,2353,7,938,55
iansong,2353,6,1372,152
conu,2352,7,1886,372
drwolf1999,2352,7,1292,1
chansol,2351,6,1687,527
lastknight00,2351,7,2993,198
mymasterpark2,2351,7,1459,365
rkaxhdals,2351,7,590,58
ksi4495,2412,6,1084,47
midoria,2412,7,1218,367
nabaek,2412,8,437,14
nono00,2412,9,207,9
dbgusdn012,2411,7,3237,80
exzile_27,2411,7,1245,551
hyo123bin,2411,7,1480,2
jeong,2411,7,1604,4
noye,2411,7,1137,7
changdae20,2410,6,597,85
firstin0907,2409,8,1113,7
frozenca,2409,7,1368,147
ldhhello,2409,7,1000,372
lsujj48,2409,7,972,5
rreshi,2409,5,925,234
owo2002,2408,8,1366,139
ssji110113,2408,8,536,49
cake_monotone,2407,6,993,2
kmnops,2407,7,612,32
mon_de2738,2406,7,1183,971
koreanenglish_u,2405,7,265,27
Nyan101,2405,8,807,2
pso5594,2405,8,873,43
ylrac,2405,7,2036,479
goooora,2404,7,3942,14
Acka,2403,7,1442,2
khj94811,2403,7,2541,1
lofi,2403,8,376,11
rabbit007,2403,7,748,7
tkey_sol17,2403,5,629,92
zlzmsrhak,2401,4,841,1
123jhlee,2400,7,2102,24
kkkkkkkkfkfk,2400,8,1067,44
yhosh,2399,6,440,8
yys11631,2399,7,2219,4
alsidnf,2398,8,981,3
jinseo,2398,7,759,373
kimhc72,2398,8,957,6
silvester71,2398,7,764,5
dnfka0930,2397,8,175,4
dohyonne,2397,8,3606,919
paull04,2397,6,1148,69
kangsm02,2396,6,1246,128
sslktong,2396,7,1626,4
ckw1140,2395,4,844,8
ngpin04,2395,8,159,30
pch6828,2394,7,1569,70
delena0702,2393,8,2337,605
dicohy27,2391,7,1040,136
nlee14092011,2391,7,729,59
yu0524,2391,7,1137,6
miryu,2390,6,590,6
n4435898,2390,8,426,27
spotky1004,2390,7,1516,553
97mjh1012,2389,8,611,4
minjunnick,2389,7,2151,161
ryute,2388,3,733,6
tkdgns685,2388,7,1945,6
tksvlf123,2388,7,2702,50
hongjg3229,2387,7,1562,9
sunho,2387,7,604,134
inhyuk05,2386,7,967,6
pjh1016,2386,7,780,127
pleiades1,2386,6,716,39
prisem,2386,8,1027,12
yukariko,2386,8,2480,16
1207koo,2384,7,759,3
great0108,2384,8,655,42
pluie,2384,7,904,18
sky,2384,7,764,4
naneun,2382,7,1394,58
sinwall,2382,2,380,270
w8385,2382,7,3501,792
yunny_world,2382,7,2043,416
pcmaster0228,2381,7,1269,137
bmw777,2380,4,701,1
leaps,2380,6,1124,14
sm970124,2380,7,1345,3
rustiebeats,2379,7,2763,205
3587jjh,2378,7,2531,2
david9224,2378,6,1164,1
joseph0528,2378,7,1104,64
jrguyyoo,2378,8,362,6
lovinix,2378,7,1005,2
twilit,2378,0,428,29
xhdtlsid2,2377,6,2476,896
jason9319,2376,7,2057,2
newtrend,2376,0,220,4
yohanroh,2376,7,631,32
chas0612,2374,7,649,4
sungjae0506,2374,4,1137,14
k1178k,2373,5,743,8
red6855,2373,7,1398,511
takanashi_kotori,2373,8,309,8
woalsdnd,2373,8,146,4
ysk102706,2373,5,934,336
ecode,2372,5,764,479
zhxpdustmqdyd,2372,7,1956,212
dankimh,2371,6,643,14
ddddewang,2371,7,453,18
dollypolly,2459,8,1151,144
kwanghyunon,2459,3,739,1
powergee,2459,8,1502,66
woaldudrl,2459,7,1664,130
yeohj0710,2459,7,5561,376
mythofys,2458,7,1012,32
anmichi,2457,9,145,5
hunter_l,2457,8,624,384
js7777,2455,7,655,145
psj_0708,2455,7,735,16
teddybear1024,2453,8,1139,20
ban4861,2452,7,1018,128
bu_gye_jeong,2452,7,1412,809
qja0950,2452,7,1887,1
kesakiyo,2451,7,3205,4
Nada,2451,7,2477,1
pkearth,2451,6,3014,113
dosawas,2450,8,2023,1193
hongii2,2450,5,343,18
hyperbolic,2450,0,1570,6
choyj416,2449,6,965,133
skeep194,2449,8,1983,103
johnny8337,2448,7,470,12
kevinlys00,2448,7,1231,92
ymjoo12,2448,8,2089,486
bimbi,2447,8,621,135
harryhajinchung,2447,8,911,36
jhhope1,2446,0,414,7
bossusuprem,2445,0,926,7
forpractice,2444,0,278,7
hojoon0205,2444,7,578,2
tjd229,2444,6,502,3
kimyh9797,2443,7,1610,8
minstar,2443,8,1206,257
pjh6792,2443,8,1589,19
wlsth1004100,2443,7,1755,30
kckyoung2,2442,7,2872,861
tlsgusrb314,2441,7,1288,259
wjdgud0621,2441,7,1771,289
wlaud,2441,7,2079,587
jay153,2440,7,738,75
owmicron,2440,7,778,318
tngks1995,2440,8,1528,225
tyoungs,2440,8,1530,40
ainch96,2439,7,1427,1
dldbgh1004,2439,7,1590,65
martin0327,2439,8,1053,103
ktw020406,2438,8,1538,1099
lycoris1600,2438,6,4485,1174
sunho0371,2438,7,838,19
qkrghdqls1,2497,8,301,6
petamingks,2496,6,750,9
chlwnsgud7,2495,8,1811,48
sonho00,2495,8,849,7
pjshwa,2494,7,6327,1408
unwnsgk1282,2494,7,818,38
wts1597,2494,8,842,293
jinyr1128,2493,8,715,88
peijar,2493,0,338,13
jhnan917,2491,0,597,5
jjaewon9,2491,8,880,17
yongjun18,2491,8,1514,6
captain,2490,8,1042,40
iwantmoney,2489,8,627,64
shinhuichan,2489,7,733,155
jhw7181,2488,8,893,227
greatmelonbread,2486,8,834,19
lqcit1051,2485,7,891,16
snowflake,2484,0,505,19
fm9779,2482,5,908,23
4fecta,2478,8,236,4
dreami63,2477,8,917,11
froglike6,2477,8,619,31
rhrnald,2477,1,570,1
sksms1375,2477,7,4255,585
dlguq0107,2475,8,1354,37
rootsquare,2475,8,1798,368
dahoon46,2473,8,132,9
sendol,2473,8,963,38
hwangcw0613,2472,8,1169,6
heiler,2471,7,1157,6
kdr06006,2471,7,1685,6
qjatn0120baek,2471,8,874,6
yunnina01,2471,8,972,918
sys7961,2470,8,1559,2
chunghan,2469,7,1015,6
easrui,2469,1,524,1
sungheeboy,2469,7,1160,29
yuseok0803,2469,7,648,27
flakepowders,2467,6,2510,1024
assass12,2466,8,426,296
dstaykimo,2466,7,768,214
some256,2465,6,1905,564
tncks0121,2465,6,1709,2
kryan1244,2464,8,762,82
sos89756,2464,7,527,37
blin00,2462,8,448,6
imkavin43,2461,6,1090,47
njchung99,2461,7,1376,0
kcan1416,2460,7,932,2
jh20s,2305,7,1134,1
kibum1024,2305,7,574,7
toastifishi,2305,0,661,6
jjkmk1013,2304,7,2583,1152
kimriany,2304,6,814,399
sewxer64,2304,7,570,132
aym506,2303,7,1160,9
creampuffshu,2303,7,1159,45
kdhc7777,2303,7,1296,148
aj4941,2302,7,2124,21
hjs8482,2302,6,778,10
jsa3824,2302,6,2046,2
lyzqm,2302,6,1580,1
martinok1103,2302,7,4744,1088
roeyr,2302,7,756,75
yoonjjan,2302,7,1318,856
asm9677,2301,6,975,8
dkvltmxhf,2301,7,1187,12
rudykdy0216,2301,7,645,361
y1j2sung,2301,7,554,30
20210805,2300,7,2802,334
creeper0809,2300,7,392,56
devruby,2300,5,1429,33
juchan1220,2300,6,1364,96
kyjdummy,2300,7,1424,343
msjang4,2300,8,342,10
sheenjiwon,2300,6,1514,320
yoggwing,2300,6,1060,16
choiking10,2299,6,1345,1
chokim159,2299,7,1027,128
geon08,2299,7,1230,4
inhibitor,2299,8,492,9
jsj0412,2299,7,1028,41
pianop,2299,7,1638,1233
maker29,2298,6,1226,7
rlatndhrlatndh,2298,6,1904,726
sopeng,2298,7,641,6
citizen,2297,6,2768,1
cscsksks,2297,7,608,34
dnj000920,2297,7,1290,874
fallguy1250,2297,6,962,64
khk080618,2297,7,661,1
myungum,2297,7,1709,6
chan4928,2296,5,1256,4
meos,2296,6,910,159
sbrus_1213,2296,6,1003,1
shash4321,2296,8,618,6
william9906,2296,7,813,68
fromis_9,2295,5,1920,2
gi1dong2,2295,5,1230,25
wken2824,2334,7,876,65
dontsaymyid,2333,7,698,276
joysteve,2333,7,1539,147
makerdark98,2333,7,797,5
ktwin01,2332,7,423,3
urin6695,2332,7,1222,317
gazebo1,2331,7,2009,1237
singun11,2331,7,4461,509
snapflip20,2330,7,1332,9
yong0315,2330,6,1115,138
bic0893,2329,7,1818,216
newdeal,2329,7,1830,1
taiki0715,2329,8,157,8
ivymso13,2328,7,2324,406
l13313,2328,7,645,96
lighter,2327,5,2683,1134
thrudgelmir,2327,7,592,4
tjqtjq0516,2327,8,980,6
alex0211,2326,6,595,6
beans3142,2326,7,1789,369
asiad,2325,7,153,4
joey3020,2325,7,420,1
riverlike14,2325,7,1443,22
ufshg,2324,5,2344,1160
yjyj1027,2324,6,1207,8
2093ab,2323,7,1763,1169
daum7766,2323,8,1114,710
gw0419,2323,7,1702,365
oculis,2323,6,1614,18
psiiiy,2323,5,879,7
younsm23,2323,7,521,46
aeternussm,2322,7,570,31
pdw0412,2322,7,980,341
redshift,2322,0,439,2
silvercube,2322,7,2438,1028
z1gyeol,2322,6,578,71
infikei,2321,6,2956,990
juseong,2321,7,1997,3
eunsoo0607,2320,6,964,200
galois1423,2320,7,561,15
ggj06281,2320,7,1343,3
wizardrabbit,2320,7,3552,1117
110000110101,2319,7,1582,193
kimdw9983,2319,7,837,297
suhodnkla,2319,6,730,365
0000000000,2318,7,1815,385
bluefcat,2318,6,1181,10
chika,2318,6,2277,456
koder0205,2318,7,2223,850
0318top,2317,7,763,144
dyim0403,2317,7,2450,460
maroo750,2317,6,628,28
shj9801,2317,8,791,367
yanghj1490,2317,7,983,365
39dll,2316,7,1184,6
sogangcse,2316,7,1327,1
